FREQ0	FREQ1	RHO0	RHO1	COUNT	MEAN	SD
0.12	0.14	0.00176919664411648	1.1258259270257	22428	-1.01161293918317	0.7011977814162
0.14	0.16	0	5.18556330379426e-06	19166	-2.10274345194615	1.35022394574206
0.14	0.16	5.18556330379426e-06	3.03586740994656e-05	20719	-2.0709145229017	1.11575275501796
0.14	0.16	3.03586740994656e-05	6.53253569682131e-05	20010	-1.95676466766617	1.02463150862308
0.14	0.16	6.53253569682131e-05	0.000108669489167559	20809	-1.85792258157528	0.959210318008177
0.14	0.16	0.000108669489167559	0.000166675797815345	20732	-1.74996010997492	0.928786097534452
0.14	0.16	0.000166675797815345	0.000251362593290369	20553	-1.6735110689437	0.890381440923597
0.14	0.16	0.000251362593290369	0.000393942495754424	20463	-1.59225182035869	0.861694270381286
0.14	0.16	0.000393942495754424	0.000689784071096414	20851	-1.47125543139418	0.830808999614478
0.14	0.16	0.000689784071096414	0.00176919664411648	20506	-1.3191469326051	0.769995529879704
0.14	0.16	0.00176919664411648	1.1258259270257	19724	-0.93239677550192	0.677003623807757
0.16	0.18	0	5.18556330379426e-06	18495	-1.88674214652609	1.29255324893615
0.16	0.18	5.18556330379426e-06	3.03586740994656e-05	19202	-1.87984428705343	1.04537637880666
0.16	0.18	3.03586740994656e-05	6.53253569682131e-05	18278	-1.81051914870335	1.02318790584148
0.16	0.18	6.53253569682131e-05	0.000108669489167559	18893	-1.69559826390728	0.925792314868786
0.16	0.18	0.000108669489167559	0.000166675797815345	18555	-1.60795020210185	0.898704520541247
0.16	0.18	0.000166675797815345	0.000251362593290369	19196	-1.56897817253595	0.886866499512762
0.16	0.18	0.000251362593290369	0.000393942495754424	19385	-1.49425643538818	0.836964438571393
0.16	0.18	0.000393942495754424	0.000689784071096414	18229	-1.38660513467553	0.821786011516993
0.16	0.18	0.000689784071096414	0.00176919664411648	18703	-1.24193396781265	0.765982704124842
0.16	0.18	0.00176919664411648	1.1258259270257	17977	-0.854101407353843	0.662597939462516
